,unit,ticker,exchangeCD,utcOffset,currencyCD,barTime,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
119,1,1,XSHE,+08:00,CNY,11:29,8.66,8.67,8.67,8.65,381600,3304662
120,1,1,XSHE,+08:00,CNY,11:30,8.67,8.66,8.67,8.66,38900,337054
121,1,1,XSHE,+08:00,CNY,13:01,8.67,8.67,8.67,8.66,232580,2015442.8
122,1,1,XSHE,+08:00,CNY,13:02,8.67,8.66,8.67,8.66,65230,565262.1
123,1,1,XSHE,+08:00,CNY,13:03,8.67,8.67,8.68,8.66,58270,505567.9
124,1,1,XSHE,+08:00,CNY,13:04,8.67,8.67,8.67,8.66,54660,473591.6
125,1,1,XSHE,+08:00,CNY,13:05,8.67,8.66,8.67,8.66,35600,308430
126,1,1,XSHE,+08:00,CNY,13:06,8.66,8.67,8.67,8.66,35580,308274.8
127,1,1,XSHE,+08:00,CNY,13:07,8.67,8.66,8.67,8.66,74700,646954
128,1,1,XSHE,+08:00,CNY,13:08,8.66,8.66,8.67,8.65,128800,1115461.6
129,1,1,XSHE,+08:00,CNY,13:09,8.66,8.66,8.67,8.65,104600,905775
130,1,1,XSHE,+08:00,CNY,13:10,8.66,8.66,8.66,8.65,86900,752003
131,1,1,XSHE,+08:00,CNY,13:11,8.66,8.66,8.66,8.65,106600,922772
132,1,1,XSHE,+08:00,CNY,13:12,8.66,8.66,8.67,8.66,64040,554568.4
133,1,1,XSHE,+08:00,CNY,13:13,8.66,8.66,8.67,8.65,89920,778665.2
134,1,1,XSHE,+08:00,CNY,13:14,8.65,8.65,8.66,8.65,70800,612783
135,1,1,XSHE,+08:00,CNY,13:15,8.65,8.65,8.66,8.65,92495,800153.75
136,1,1,XSHE,+08:00,CNY,13:16,8.65,8.65,8.66,8.65,167860,1452135
137,1,1,XSHE,+08:00,CNY,13:17,8.64,8.65,8.66,8.64,505300,4369004.13
138,1,1,XSHE,+08:00,CNY,13:18,8.64,8.64,8.65,8.64,229040,1979335.6
139,1,1,XSHE,+08:00,CNY,13:19,8.63,8.65,8.65,8.63,164600,1421818.73
140,1,1,XSHE,+08:00,CNY,13:20,8.64,8.64,8.64,8.63,120600,1041544
141,1,1,XSHE,+08:00,CNY,13:21,8.63,8.63,8.64,8.62,946900,8171780
142,1,1,XSHE,+08:00,CNY,13:22,8.62,8.63,8.63,8.6,1091133,9400267.67
143,1,1,XSHE,+08:00,CNY,13:23,8.62,8.61,8.62,8.61,197141,1698729.02
144,1,1,XSHE,+08:00,CNY,13:24,8.62,8.62,8.63,8.62,418660,3611804.2
145,1,1,XSHE,+08:00,CNY,13:25,8.63,8.63,8.63,8.62,480700,4146370
146,1,1,XSHE,+08:00,CNY,13:26,8.63,8.62,8.63,8.62,127100,1095785
147,1,1,XSHE,+08:00,CNY,13:27,8.62,8.62,8.63,8.62,271740,2342824.8
148,1,1,XSHE,+08:00,CNY,13:28,8.62,8.62,8.63,8.62,152400,1314658
149,1,1,XSHE,+08:00,CNY,13:29,8.63,8.62,8.63,8.62,326500,2814964
150,1,1,XSHE,+08:00,CNY,13:30,8.62,8.62,8.63,8.62,83300,718215
151,1,1,XSHE,+08:00,CNY,13:31,8.62,8.62,8.63,8.62,140180,1208676.6
152,1,1,XSHE,+08:00,CNY,13:32,8.63,8.62,8.63,8.62,96140,828984.8
153,1,1,XSHE,+08:00,CNY,13:33,8.62,8.62,8.63,8.62,239679,2066444.98
154,1,1,XSHE,+08:00,CNY,13:34,8.63,8.61,8.63,8.61,721221,6217170.02
155,1,1,XSHE,+08:00,CNY,13:35,8.63,8.62,8.63,8.62,291605,2514084.1
156,1,1,XSHE,+08:00,CNY,13:36,8.63,8.63,8.63,8.62,314600,2712887
157,1,1,XSHE,+08:00,CNY,13:37,8.62,8.62,8.63,8.62,274900,2370699
158,1,1,XSHE,+08:00,CNY,13:38,8.62,8.62,8.63,8.62,405214,3494907.68
